           x0         x1
0   37.290419 -72.043372
1   60.266515 -98.092634
2   12.606844  44.775588
3  -32.837071  17.087291
4   19.125559  -1.461612
5  -73.902314 -47.628215
6  -50.386212 -13.630129
7    2.955498  11.074556
8  -60.747920  64.829862
9   86.482398  91.547871
10 -64.039353  96.168135
11 -83.103878 -32.913350
12   4.109783   0.416007
13 -31.322701 -38.059847
14 -56.806309 -68.689847
15  17.417670 -96.660638
16 -45.738669 -35.406766
17  90.230933 -58.757481
18  23.710284 -18.122323
19 -76.895484  20.489089
20 -66.008560  59.419356
21 -23.624388 -70.718296
22 -49.120982 -16.563393
23  83.610400 -84.267613
24 -37.365935  92.516298
25 -88.600332 -24.373719
26  14.041277  27.504502
27  95.295275  33.713106
28 -96.719642  52.361202
29  80.126822  15.678185
30 -68.090088  42.628262
31  25.603297 -29.613861
32  89.336469  99.842826
33  99.397816  24.581095
34  47.602703 -86.131220
35 -41.991277 -93.827848
36 -74.342525  70.201915
37 -16.891471  62.952773
38  74.373741 -65.573361
39  34.825501  -6.388876
40  42.549674 -40.646066
41 -13.585099  89.185875
42  33.135169  30.485947
43 -86.337680 -11.639999
44   0.062509   7.739367
45  72.403909 -53.047178
46  20.092092   5.931581
47 -98.718614  49.036915
48 -80.582892 -94.928025
49  59.122031  13.075621
50  -7.185436 -57.412304
51  96.138570 -54.100166
52  44.049501 -77.034759
53 -46.086246  81.278135
54 -26.559924 -49.927056
55 -28.277685  50.644587
56   7.268079 -22.417051
57 -42.957118 -82.374476
58 -59.628162 -80.361438
59 -90.337091   2.376454
60  -5.942542  40.657850
61 -93.988449 -15.986103
62 -85.197286  72.164853
63  62.156760  55.720876
64  77.014094 -89.831503
65  41.402584  28.829678
66 -21.113620  18.093046
67  79.446429 -26.951180
68  10.991763  85.689902
69 -35.125532  39.179303
70 -70.719207 -60.085598
71 -78.065260 -37.032805
72   9.691882  34.966693
73  55.463041  57.861846
74  52.916341  78.011042
75  -2.970733  36.825931
76 -39.866237   9.151409
77  26.632087 -21.649748
78 -94.334872  75.555473
79  38.690855 -42.544579
80  31.974750  77.037300
81 -15.033486  82.673822
82 -62.610738 -63.252257
83  -9.601472 -44.570045
84  49.047500  46.802711
85  68.748120 -66.617965
86  64.972051  95.487884
87  56.463428  68.320986
88  92.995991 -78.632539
89  29.260406  87.999209
90 -55.538657  -8.486908
91  70.174358  23.332639
92  -1.610477 -50.477643
93 -11.951197 -31.057511
94 -19.647037  61.326323
95 -52.013820 -75.637842
96  50.838439  -3.547782
97 -25.391813  -5.200066
98  84.424942  67.422856
99  66.142575 -91.226413
           x0         x1
0   91.771182  68.606762
1    5.870292  -9.945710
2  -57.505616  41.332848
3   92.728046  30.455685
4  -75.561075 -59.323661
5   89.891805 -70.140215
6   57.032491 -34.735512
7   35.836159 -60.890970
8  -94.735727 -48.524926
9   -2.589186  20.065562
10 -21.873967   6.056336
11 -35.260660  84.975507
12  94.455386 -18.617080
13 -22.268658  24.703257
14  16.362918 -75.245263
15 -19.441752 -79.089029
16 -55.725433  66.706537
17  20.132207 -33.900779
18  64.147564 -86.189229
19  96.124866 -30.609052
20 -97.279090  77.365274
21 -42.783461  81.097972
22  78.828304 -76.229089
23  67.529803 -97.975891
24   2.952749  90.124318
25  45.797936  12.706156
26  -8.598641 -47.255422
27 -62.946419  14.660317
28 -88.599713   0.753385
29  23.563236  57.638474
30  51.282226  -5.593047
31 -65.021978  11.085086
32  -6.577084  71.742258
33  -4.076876  22.410204
34 -10.037334 -68.309815
35 -38.809434 -43.846589
36 -58.550446  19.862985
37  42.310763  96.846648
38  73.773679  82.194037
39  18.183132 -41.952994
40  48.329519  93.737121
41  27.882237 -24.516291
42  46.513367  72.835547
