,name,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,fitness_distance.fd_correlation,fitness_distance.fd_cov,fitness_distance.distance_mean,fitness_distance.distance_std,fitness_distance.fitness_mean,fitness_distance.fitness_std,fitness_distance.costs_runtime
0,origin_1,0.45512160064590557,71599626.9701029,-1407015.9773931997,993884.6037327483,-0.7063776244916093,0.7240923400670496,0.671236540623606,2.4648286778659556,0.983987896099697,0.011926,2.5608608509988087,5.743123408507035,3,0.001856,0.6689392023761842,112641.15955119138,46.08884010634727,28.4671431272976,6250.640699999999,5915.1611333202645,0.001067
1,origin_1,0.451596088248452,62336050.00536529,-1451608.9251534636,1096210.3882754217,-0.7551692258708941,0.6797836115810655,0.61554093639491,3.9499322843665516,0.9883747206874777,0.009302,3.0273597989426344,8.373141906541269,3,0.00177,0.5104632522007068,117650.22007255713,52.37674728884764,34.2363943065068,10872.755000000001,6731.94007239163,0.000938
2,origin_1,0.37968969302373246,64628173.02366829,-1132718.1000556126,698234.4424617442,-0.6164238414019015,0.6591363806175097,0.6213970055689833,2.243279472700773,0.9791102382432016,0.009197,3.041378468020309,10.132753409329167,3,0.001815,0.4447886384599823,1115365.8956226786,54.11027206371887,40.99392775052914,69464.271,61170.797761668466,0.000979
3,origin_1,0.31761386689793925,61123596.28003593,-1158066.6159688632,702878.4979238556,-0.6069413350075827,0.6012669215086701,0.5742704106426686,2.8767123420859835,0.9776315042283207,0.008592,3.8365481591676867,16.562306299389917,4,0.001723,0.8129605275957393,473879.6349612426,54.06250449159872,52.942403168323736,9162.9955,11010.193075602416,0.001007
4,origin_1,0.4023933165354656,62664834.87539509,-1254045.3725250545,815945.6170847155,-0.6506507937920833,0.6549039990458976,0.5964510212815901,2.483407809020905,0.9806062513640337,0.009012,3.106345723434804,9.778763605264826,2,0.001876,0.607534683338264,139814.92044532922,48.03008530508099,41.668076067919,7465.7431,5523.050259819084,0.001045
5,origin_1,0.2955752580764299,66559952.45275828,-1191405.3847009575,703827.606351159,-0.5907540920908458,0.6204796646131969,0.5743044454895364,2.390822347282209,0.9795360783060421,0.008722,3.6481083422861706,13.836879370707155,3,0.001669,0.6606144759018915,91022.84265013356,45.972419242251355,33.24097068878802,4377.7699,4145.038903386137,0.001022
6,origin_1,0.4283912178719014,59414086.903251655,-1144325.0478744903,627475.1031368482,-0.5483364226819492,0.6536477738334643,0.6358452577164551,2.9154832968266944,0.9797503649026933,0.008989,2.831136922933047,10.018496327054635,3,0.001955,0.6539819456694195,152317.4553950509,42.01813194404389,36.22686184683825,5896.4952,6429.144720885557,0.001169
7,origin_1,0.4586048594326112,65964208.69191036,-1287328.8100022897,746458.2938643479,-0.5798505308546774,0.6834502053836384,0.6799968612803989,5.248671636852704,0.9799154699561006,0.009835,2.409559773452325,5.419585182053041,3,0.001873,0.8188161463857905,478931.77755127195,81.5226920479257,57.13249674699558,10610.3052,10237.738970549022,0.00114
8,origin_1,0.404546054222635,63754382.25001111,-1232405.0037462718,762627.722979004,-0.6188125824390228,0.6583643502830445,0.6090230979589732,3.4806933327892824,0.9781020547561985,0.010237,3.0836288025981546,10.636174525261607,4,0.001866,0.42073747152231256,192992.7834871162,59.13776911665066,41.42955143109656,13854.493400000001,11071.836047970044,0.001072
9,origin_1,0.35206621745883204,54981059.23463144,-914944.131934252,503029.0758945368,-0.5497921220950401,0.6130201484213647,0.5707781404595426,13.388559580194885,0.9689423117728855,0.009547,2.774691610408157,8.577706749772158,4,0.001748,0.5575648290041078,197948.955696464,56.94931321474827,40.6114006570694,12519.791000000001,8741.981354671962,0.000984
